発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2004-03-24,-,-,-,セガ,ぷよぷよフィーバー,,3776,0,,湯田高志,,竹浪秀行(キャラクターデザイン),,,中裕司,
2004-03-25,-,-,-,アタリ,"ミッションインポッシブル オペレーション・サルマ",,3992,0,,,,,ダニー・エルフマン(第1作)|ハンス・ジマー(第2作)|マイケル・ジアッチーノ(第3作-第4作)|ジョー・クレイマー(英語版)(第5作)|ローン・バルフ(第6作),ブルース・ゲラー,,
2004-04-29,-,-,-,任天堂,ピクミン2,,3993,0,,日野重文|阿部将道,山下善一|神門有史,,戸高一生|若井淑,,宮本茂|手塚卓志,
2004-05-27,-,-,-,任天堂,ワリオワールド,,3994,0,,,,,,,,
2004-06-17,-,-,-,セタ,"レジェンド オブ ゴルファー",,3995,0,,,,,,,,
2004-06-26,-,-,-,エレクトロニック・アーツ,ハリー・ポッターとアズカバンの囚人,,3996,0,,,,,,,,
2004-07-01,-,-,-,任天堂,"ドンキーコンガ2 ヒットソングパレード",,3866,0,,,,,,,,
2004-07-08,-,-,-,コナミ,"クラッシュ・バンディクー 爆走!ニトロカート",,3997,0,,,,,,,,
2004-07-08,-,-,-,コナミ,"コロッケ! バン王の危機を救え",,3998,0,,,,,,,,
2004-07-08,-,-,-,マーベラスインタラクティブ,"牧場物語 ワンダフルライフ for ガール",,3820,0,,,,,,,,
2004-07-15,-,-,-,コナミ,実況パワフルプロ野球11,,3999,0,,,,,,,,
2004-07-22,-,-,-,任天堂,ペーパーマリオRPG,,3804,0,,川出亮太,,,平野義人|辻横由佳|春山沙紀,,宮本茂|北西亮一,
2004-07-29,-,-,-,カプコン,"ロックマンX コマンドミッション",,3805,0,,,,,,,,
2004-07-29,-,-,-,サンライズ,"新世紀GPXサイバーフォーミュラ Road To The Evolution",,3890,0,,,,いのまたむつみ(原案)|吉松孝博|河森正治|いのまたむつみ(原案)|久行宏和,佐橋俊彦,矢立肇,,
2004-07-29,-,-,-,バンダイ,デジモンバトルクロニクル,,4000,0,,,,,,,,
2004-08-05,-,-,-,バンダイ,"金色のガッシュベル!! 友情タッグバトルフルパワー",,4001,0,,,,,,,,
2004-08-26,-,-,-,セガ,"バーチャファイター サイバージェネレーション ジャッジメントシックスの野望",,4002,0,,,,,,,,
2004-09-30,-,-,-,トミー,ゾイドバーサス3,,4003,0,,,,,,,,
2004-10-14,-,-,-,任天堂,くるりんスカッシュ!,,4004,0,,,,,,,,
2004-10-28,-,-,-,任天堂,マリオテニスGC,,4005,0,,,,,,,,
2004-11-18,-,-,-,任天堂,マリオパーティ6,,3867,0,,,,,,,,
2004-11-20,-,-,-,トミー,"ナルト 激闘忍者大戦!3",,4006,0,,,,,,,,
2004-12-02,-,-,-,D3パブリッシャー,Mr.インクレディブル,,4007,0,,,,,マイケル・ジアッキーノ,ブラッド・バード,,
2004-12-09,-,-,-,バンダイ,"機動戦士ガンダム ガンダム vs. Zガンダム",,4008,0,,,,,,,,
